Data provided by SimFin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Other Short Term Assets,"7,882","4,275","4,870","5,657","7,356","9,497","10,038","11,035","11,512","12,891","14,449","14,030","15,510","16,803","19,475","15,871","15,077","17,874","23,314","17,662","17,762","23,883","31,948","21,494","23,838","28,579","22,741","17,799","18,460","21,828","26,111","20,400","20,571","31,735","38,796","20,127","24,751","37,896","31,336","23,285","22,856","35,230","31,002"
,Total Current Assets,"35,170","31,555","33,332","32,336","36,033","41,678","43,927","46,997","46,898","44,988","54,771","50,712","51,943","57,653","72,348","63,337","68,219","73,286","80,347","70,541","67,949","68,531","83,403","67,891","70,953","89,378","76,219","87,592","93,761","106,869","103,332","101,990","112,875","128,645","143,810","130,053","115,761","131,339","140,828","123,346","134,973","162,819","163,231"
,"Property, Plant & Equipment, Net","2,653","2,954","3,115","3,504","3,990","4,768","5,868","6,241","6,749","7,777","7,816","8,847","10,487","15,452","15,422","15,026","16,327","16,597","15,488","15,120","17,585","20,624","20,392","20,151","21,149","22,471","22,300","23,203","25,448","27,010","26,510","27,163","29,286","33,783","33,679","35,077","38,117","41,304","39,597","38,746","37,636","37,378","37,031"
,Long Term Investments & Receivables,"6,899","10,528","15,024","18,549","21,551","25,391","32,730","36,533","47,761","55,618","67,445","81,638","89,567","92,122","97,292","105,550","104,014","106,215","118,131","109,239","126,685","130,162","145,492","160,443","168,145","164,065","177,665","177,645","169,764","170,430","185,638","189,740","184,757","194,714","207,944","179,286","172,773","170,799","158,608","145,319","115,996","105,341","99,899"
,Other Long Term Assets,"3,418","2,464","2,455","2,668","3,151","3,346","4,217","5,133","5,350","7,988","8,649","9,737","10,899","10,837","11,026","10,830","11,296","10,902","11,218","11,089","10,301","12,522","12,607","12,709","12,904","14,431","17,100","16,837","16,629","17,377","15,661","15,639","18,255","18,177","21,361","23,086","22,546","22,283","34,686","34,587","33,634","32,978","40,457"
,Total Noncurrent Assets,"12,970","15,946","20,594","24,721","28,692","33,505","42,815","47,907","59,860","71,383","83,910","100,222","110,953","118,411","123,740","131,406","131,637","133,714","144,837","135,448","154,571","163,308","178,491","193,303","202,198","200,967","217,065","217,685","211,841","214,817","227,809","232,542","232,298","246,674","262,984","237,449","233,436","234,386","232,891","218,652","187,266","175,697","177,387"
,Total Assets,"48,140","47,501","53,926","57,057","64,725","75,183","86,742","94,904","106,758","116,371","138,681","150,934","162,896","176,064","196,088","194,743","199,856","207,000","225,184","205,989","222,520","231,839","261,894","261,194","273,151","290,345","293,284","305,277","305,602","321,686","331,141","334,532","345,173","375,319","406,794","367,502","349,197","365,725","373,719","341,998","322,239","338,516","340,618"
,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payables & Accruals,"8,192","9,453","10,507","9,687","12,921","17,738","20,254","20,736","22,867","23,879","29,721","26,789","27,238","32,589","39,605","28,243","28,986","36,223","45,412","34,898","35,799","48,649","60,725","45,986","49,198","60,671","57,344","48,306","47,138","59,321","62,249","51,669","55,219","44,242","89,266","61,067","63,673","55,888","44,293","30,443","29,115","46,236","45,111"
,Short Term Debt,,,,,,,,,,,,,,,,,,0,,,"2,010","6,308","3,899","3,799","6,999","10,999","9,759","10,498","15,996","11,605","13,992","13,991","18,475","18,473","18,478","20,478","17,472","20,748","21,741","22,429","23,482","16,240","15,214"
